S. No.,INSTITUTE NAME,INSTITUTE TYPE,FW,BRANCH,NATIONALPLAYER,OPENING JEE COMMON RANK,CLOSING JEE COMMON RANK,ALLOTTED CATEGORY,DOMICILE,TOTAL ALLOTTED
972,"Mahakal Instute of Technology, Ujjain (2001)",private,N,CE,,1294469,1358409,UR/X/OP,,2
973,"Mahakal Instute of Technology, Ujjain (2001)",private,N,CSE,,314515,887051,EWS,,6
974,"Mahakal Instute of Technology, Ujjain (2001)",private,Y,CSE,,241143,581549,FW/OP,,9
975,"Mahakal Instute of Technology, Ujjain (2001)",private,N,CSE,,262644,1464320,UR/X/OP,,45
976,"Mahakal Instute of Technology, Ujjain (2001)",private,N,CSEIML,,605433,1422066,UR/X/OP,,6
977,"Mahakal Instute of Technology, Ujjain (2001)",private,N,EC,,481740,481740,UR/X/OP,,1
978,"Mahakal Instute of Technology, Ujjain (2001)",private,N,ELECT ELEX,,758654,1385725,UR/X/OP,,3
979,"Mahakal Instute of Technology, Ujjain (2001)",private,N,IT,,648469,1227824,UR/X/OP,,4
980,"Mahakal Instute of Technology, Ujjain (2001)",private,N,MECH,,584857,584857,UR/X/OP,,1
981,"Maharana Pratap College of Technology, Gwalior (1996)",private,Y,CSE,,550211,899427,FW/OP,,3
982,"Maharana Pratap College of Technology, Gwalior (1996)",private,N,CSE,,571497,1338357,UR/X/OP,,4
983,"Maharana Pratap College of Technology, Gwalior (1996)",private,N,EE,,892973,1005854,UR/X/OP,,2
984,"Malwa Institute of Science & Technology, Indore (2008)",private,N,AIML,,612057,1329965,UR/X/OP,,2
985,"Malwa Institute of Science & Technology, Indore (2008)",private,N,CSE,,1132760,1132760,EWS,,1
986,"Malwa Institute of Science & Technology, Indore (2008)",private,Y,CSE,,646380,857176,FW/OP,,6
987,"Malwa Institute of Science & Technology, Indore (2008)",private,N,CSE,,333037,1473911,UR/X/OP,,21
988,"Malwa Institute of Science & Technology, Indore (2008)",private,N,EC,,870298,1372764,UR/X/OP,,2
989,"Malwa Institute of Science & Technology, Indore (2008)",private,Y,IT,,988030,1059223,FW/OP,,3
990,"Malwa Institute of Science & Technology, Indore (2008)",private,N,IT,,622580,852307,UR/X/OP,,2
991,"Malwa Institute of Technology, Indore (2004)",private,N,AIML,,548228,548228,EWS,,1
992,"Malwa Institute of Technology, Indore (2004)",private,Y,AIML,,627113,951953,FW/OP,,2
993,"Malwa Institute of Technology, Indore (2004)",private,N,AIML,,517302,1264681,UR/X/OP,,5
994,"Malwa Institute of Technology, Indore (2004)",Private,N,AUTO,,703353,1454226,UR/X/OP,,2
995,"Malwa Institute of Technology, Indore (2004)",private,N,CSE,,720897,767248,EWS,,2
996,"Malwa Institute of Technology, Indore (2004)",private,Y,CSE,,622639,1043683,FW/OP,,9
997,"Malwa Institute of Technology, Indore (2004)",private,N,CSE,,615674,1445468,UR/X/OP,,13
998,"Malwa Institute of Technology, Indore (2004)",private,Y,IT,,1073508,1314762,FW/OP,,3
999,"Malwa Institute of Technology, Indore (2004)",private,N,IT,,708025,1456778,UR/X/OP,,7
1000,"Millenium Institute of Technology and Science, Bhopal (2007)",private,N,CSE,,958211,958211,EWS,,1
